City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
127,prainha,92,BR,1526365278,100,-1.8,-53.48,73.84,2.84
128,talnakh,76,RU,1526364935,100,69.49,88.39,21.91,6.87
129,muroto,0,JP,1526360400,61,33.37,134.14,77.0,6.93
130,pontianak,44,ID,1526365280,95,-0.02,109.34,84.82,3.96
131,klaksvik,92,FO,1526361600,100,62.23,-6.59,46.4,12.75
132,lazaro cardenas,56,MX,1526364726,34,28.39,-105.62,74.2,8.55
133,loja,68,EC,1526365281,95,-4.0,-79.2,55.12,1.05
134,bud,75,NO,1526361600,87,62.91,6.91,53.6,3.36
135,sao gabriel da cachoeira,92,BR,1526365216,97,-0.13,-67.09,72.58,2.62
136,touros,48,BR,1526364993,100,-5.2,-35.46,76.09,5.64
137,linhares,92,BR,1526365283,93,-19.38,-40.06,70.78,3.96
138,chuy,56,UY,1526364821,92,-33.69,-53.46,59.44,6.98
139,finschhafen,64,PG,1526365283,74,-6.6,147.85,79.96,2.95
140,shetpe,0,KZ,1526365284,18,44.14,52.16,79.51,4.41
141,wanaka,0,NZ,1526365210,98,-44.7,169.14,34.78,2.06
142,erdenet,92,MN,1526365284,58,49.03,104.04,49.45,6.64
143,mayenne,32,FR,1526365285,65,48.3,-0.62,52.69,12.91
144,bredasdorp,36,ZA,1526364826,100,-34.53,20.04,54.85,8.66
145,chiang rai,20,TH,1526360400,70,19.9,99.84,86.0,4.7
146,launceston,40,AU,1526364000,50,-41.43,147.14,53.6,11.41
147,uyuni,0,BO,1526365287,40,-20.46,-66.82,13.99,2.62
148,plaster rock,40,CA,1526363760,58,46.91,-67.4,53.6,4.7
149,gairo,48,TZ,1526365288,93,-6.14,36.87,66.46,4.29
150,bethel,75,US,1526363580,74,60.79,-161.76,37.4,4.7
151,kamaishi,40,JP,1526360400,38,39.28,141.86,77.0,4.7
152,lorengau,24,PG,1526364901,97,-2.02,147.27,85.27,4.74
153,rocha,24,UY,1526365311,91,-34.48,-54.34,56.56,5.41
154,alexandria,1,US,1526363640,83,31.31,-92.44,73.4,2.73
